scenario,start_goal,algorithm,run,time_ms,visited,path_steps,path_cost
Random 2,"(13, 5)->(0, 2)",A*,27,0.043300,14,14,29
Random 2,"(13, 5)->(0, 2)",A*,28,0.042700,14,14,29
Random 2,"(13, 5)->(0, 2)",A*,29,0.042500,14,14,29
Random 2,"(13, 5)->(0, 2)",A*,30,0.042300,14,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,1,0.291500,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,2,0.285600,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,3,0.284900,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,4,0.281300,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,5,0.310500,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,6,0.299100,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,7,0.285200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,8,0.352200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,9,0.287900,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,10,0.278500,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,11,0.279000,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,12,0.282600,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,13,0.302200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,14,0.303200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,15,0.282700,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,16,0.279200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,17,0.276300,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,18,0.285200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,19,0.280000,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,20,0.276400,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,21,0.277500,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,22,0.281500,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,23,0.275400,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,24,0.274900,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,25,0.320100,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,26,0.559200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,27,0.490200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,28,0.517200,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,29,0.500800,59,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,30,0.489000,59,14,29
